ICU rule-based number formatters: every rule set, formatting the number 2143

  This file is part of OmegaT, released under the GNU General Public License
  version 3 or (at your option) any later version. OmegaT is distributed
  WITHOUT ANY WARRANTY, without even the implied warranty of MERCHANTABILITY or
  FITNESS FOR A PARTICULAR PURPOSE - see the GNU General Public License for more
  details.

  Source      com.ibm.icu:icu4j 78.3, the version this build ships.
  Method      RuleBasedNumberFormat.getRuleSetNames() for the NUMBERING_SYSTEM,
              SPELLOUT and ORDINAL formatters of every available language, then
              format(2143) for each rule set.
  Caveat      The default locale is set to the root locale before asking. A
              language without rules of its own otherwise inherits the rules of
              the JVM default language, which makes it look as though Basque,
              say, spelled its numbers in German.
  Omitted     192 languages that have no rules of their own and fall back to the
              root rules, printing digits rather than words.
  Note        The numbering systems in the root locale are script-bound and
              locale-independent; OmegaT's NumeralValueParser reads eleven of
              them, and %spellout-numbering for zh, zh-Hant and ja.

 no.  locale    type       rule set                                 2143
 299  he        spellout   %spellout-numbering-year                 אלפיים מאה ארבעים ושלוש
 300  he        spellout   %spellout-ordinal-feminine               אלפיים מאה ארבעים ושלוש
 301  he        spellout   %spellout-ordinal-masculine              אלפיים מאה ארבעים ושלושה
 302  he        ordinal    %digits-ordinal                          2,143
 303  hi        spellout   %spellout-cardinal                       दो हज़ार एक सौ तैंतालीस
 304  hi        spellout   %spellout-numbering                      दो हज़ार एक सौ तैंतालीस
 305  hi        spellout   %spellout-numbering-year                 दो हज़ार एक सौ तैंतालीस
 306  hi        spellout   %spellout-ordinal-feminine               दो हज़ार एक सौ तैंतालीसवी
 307  hi        spellout   %spellout-ordinal-masculine              दो हज़ार एक सौ तैंतालीसवाँ
 308  hi        spellout   %spellout-ordinal-masculine-oblique      दो हज़ार एक सौ तैंतालीसवें
 309  hi        ordinal    %digits-ordinal                          2,143वाँ
 310  hi        ordinal    %digits-ordinal-feminine                 2,143वीँ
 311  hi        ordinal    %digits-ordinal-masculine                2,143वाँ
 312  hi        ordinal    %digits-ordinal-masculine-oblique        2,143वें
 313  hi-Latn   spellout   %spellout-cardinal                       two thousand one hundred forty-three
 314  hi-Latn   spellout   %spellout-cardinal-verbose               two thousand one hundred and forty-three
 315  hi-Latn   spellout   %spellout-numbering                      two thousand one hundred forty-three
 316  hi-Latn   spellout   %spellout-numbering-verbose              two thousand one hundred and forty-three
 317  hi-Latn   spellout   %spellout-numbering-year                 twenty-one forty-three
 318  hi-Latn   spellout   %spellout-ordinal                        two thousand one hundred forty-third
 319  hi-Latn   spellout   %spellout-ordinal-verbose                two thousand one hundred and forty-third
 320  hi-Latn   ordinal    %digits-ordinal                          2,143th
 321  hr        spellout   %spellout-cardinal-feminine              dvije tisuće sto četrdeset i tri
 322  hr        spellout   %spellout-cardinal-masculine             dvije tisuće sto četrdeset i tri
 323  hr        spellout   %spellout-cardinal-neuter                dvije tisuće sto četrdeset i tri
 324  hr        spellout   %spellout-numbering                      dvije tisuće sto četrdeset i tri
 325  hr        spellout   %spellout-numbering-year                 dvije tisuće sto četrdeset i tri
 326  hr        spellout   %spellout-ordinal-feminine               dvije tisuće st četrdeset treća
 327  hr        spellout   %spellout-ordinal-masculine              dvije tisuće st četrdeset treći
 328  hr        spellout   %spellout-ordinal-neuter                 dvije tisuće st četrdeset trećo
 329  hr        ordinal    %digits-ordinal                          2.143.
 330  hu        spellout   %spellout-cardinal                       két­ezer­száz­negyven­három
 331  hu        spellout   %spellout-cardinal-verbose               kettő­ezer­egy­száz­negyven­három
 332  hu        spellout   %spellout-numbering                      két­ezer­száz­negyven­három
 333  hu        spellout   %spellout-numbering-year                 két­ezer­száz­negyven­három
 334  hu        spellout   %spellout-ordinal                        két­ezer­száznegyvenharmadik
 335  hu        spellout   %spellout-ordinal-verbose                kettő­ezer­egyszáznegyvenharmadik
 336  hu        ordinal    %digits-ordinal                          2 143.
 337  hy        spellout   %spellout-cardinal                       երկու հազար մեկ­հարյուր քառասուն­երեք
 338  hy        spellout   %spellout-numbering                      երկու հազար մեկ­հարյուր քառասուն­երեք
 339  hy        spellout   %spellout-numbering-year                 երկու հազար մեկ­հարյուր քառասուն­երեք
 340  hy        ordinal    %digits-ordinal                          2 143.
 341  id        spellout   %spellout-cardinal                       dua ribu seratus empat puluh tiga
 342  id        spellout   %spellout-numbering                      dua ribu seratus empat puluh tiga
 343  id        spellout   %spellout-numbering-year                 dua ribu seratus empat puluh tiga
 344  id        spellout   %spellout-ordinal                        kedua ribu seratus empat puluh tiga
 345  id        ordinal    %digits-ordinal                          ke-2.143
 346  is        spellout   %spellout-cardinal-feminine              tvö þúsund og eitt­hundrað og fjörutíu og þrjár
 347  is        spellout   %spellout-cardinal-masculine             tvö þúsund og eitt­hundrað og fjörutíu og þrír
 348  is        spellout   %spellout-cardinal-neuter                tvö þúsund og eitt­hundrað og fjörutíu og þrjú
 349  is        spellout   %spellout-numbering                      tvö þúsund og eitt­hundrað og fjörutíu og þrír
 350  is        spellout   %spellout-numbering-year                 tuttugu og einn hundrað og fjörutíu og þrír
 351  is        ordinal    %digits-ordinal                          2.143.
 352  it        spellout   %spellout-cardinal-feminine              due­mila­cento­quaranta­tré
 353  it        spellout   %spellout-cardinal-masculine             due­mila­cento­quaranta­tré
 354  it        spellout   %spellout-numbering                      due­mila­cento­quaranta­tré
 355  it        spellout   %spellout-numbering-year                 due­mila­cento­quaranta­tré
 356  it        spellout   %spellout-ordinal-feminine               due­mila­cento­quaranta­treesima
 357  it        spellout   %spellout-ordinal-feminine-plural        due­mila­cento­quaranta­treesima
 358  it        spellout   %spellout-ordinal-masculine              due­mila­cento­quaranta­treesimo
 359  it        spellout   %spellout-ordinal-masculine-plural       due­mila­cento­quaranta­treesimo
 360  it        ordinal    %digits-ordinal                          2.143º
 361  it        ordinal    %digits-ordinal-feminine                 2.143ª
 362  it        ordinal    %digits-ordinal-masculine                2.143º
 363  ja        spellout   %spellout-cardinal                       二千百四十三
 364  ja        spellout   %spellout-cardinal-financial             弐千壱百四拾参
 365  ja        spellout   %spellout-numbering                      二千百四十三
 366  ja        spellout   %spellout-numbering-year                 二一四三
 367  ja        spellout   %spellout-numbering-year-latn            2143
 368  ja        spellout   %spellout-ordinal                        第二千百四十三
 369  ja        ordinal    %digits-ordinal                          第2,143
 370  ka        spellout   %spellout-cardinal                       ორი ათას ას­ორმოცდა­სამი
 371  ka        spellout   %spellout-numbering                      ორი ათას ას­ორმოცდა­სამი
 372  ka        spellout   %spellout-numbering-year                 ორი ათას ას­ორმოცდა­სამი
 373  ka        ordinal    %digits-ordinal                          2 143.
 374  kk        spellout   %spellout-cardinal                       екі мың жүз қырық үш
 375  kk        spellout   %spellout-numbering                      екі мың жүз қырық үш
 376  kk        spellout   %spellout-numbering-year                 екі мың жүз қырық үш
 377  kk        spellout   %spellout-ordinal                        екі мың жүз қырық үшінші
 378  kk        ordinal    %digits-ordinal                          2 143-ші
 379  kk-Cyrl   spellout   %spellout-cardinal                       екі мың жүз қырық үш
 380  kk-Cyrl   spellout   %spellout-numbering                      екі мың жүз қырық үш
 381  kk-Cyrl   spellout   %spellout-numbering-year                 екі мың жүз қырық үш
 382  kk-Cyrl   spellout   %spellout-ordinal                        екі мың жүз қырық үшінші
 383  kk-Cyrl   ordinal    %digits-ordinal                          2 143-ші
 384  kl        spellout   %spellout-cardinal                       marlunnik tuusintillit uutritit sisamanik qulillit pingasut
 385  kl        spellout   %spellout-numbering                      marlunnik tuusintillit uutritit sisamanik qulillit pingasut
 386  kl        spellout   %spellout-numbering-year                 marlunnik tuusintillit uutritit sisamanik qulillit pingasut
 387  kl        ordinal    %digits-ordinal                          2.143.
 388  km        spellout   %spellout-cardinal                       ពីរ​ពាន់​មួយ​រយ​សែសិប​បី
 389  km        spellout   %spellout-numbering                      ពីរ​ពាន់​មួយ​រយ​សែសិប​បី
 390  km        spellout   %spellout-numbering-year                 ពីរ​ពាន់​មួយ​រយ​សែសិប​បី
 391  km        spellout   %spellout-ordinal                        ទីពីរ​ពាន់​មួយ​រយ​សែសិប​បី
 392  km        ordinal    %digits-ordinal                          ទី2,143
 393  ko        spellout   %spellout-cardinal-financial             이천일백사십삼
 394  ko        spellout   %spellout-cardinal-native                이천백사십삼
 395  ko        spellout   %spellout-cardinal-native-attributive    이천백마흔세
 396  ko        spellout   %spellout-cardinal-sinokorean            이천백사십삼
 397  ko        spellout   %spellout-numbering                      이천백사십삼
 398  ko        spellout   %spellout-numbering-year                 이천백사십삼
 399  ko        spellout   %spellout-ordinal-native                 이천백마흔셋째
 400  ko        spellout   %spellout-ordinal-native-count           이천백마흔세 번째
 401  ko        spellout   %spellout-ordinal-sinokorean             이천백사십삼째
 402  ko        spellout   %spellout-ordinal-sinokorean-count       이천백사십삼 번째
 403  ko        ordinal    %digits-ordinal                          2,143번째
 404  ky        spellout   %spellout-cardinal                       эки миң бир жүз кырк үч
 405  ky        spellout   %spellout-cardinal-verbose               эки миң бир жүз жана кырк үч
 406  ky        spellout   %spellout-numbering                      эки миң бир жүз кырк үч
 407  ky        spellout   %spellout-numbering-year                 эки миң бир жүз кырк үч
 408  ky        spellout   %spellout-ordinal                        эки миң бир жүз кырк үчүнчү
 409  ky        ordinal    %digits-ordinal                          2 143'инчи
 410  lb        spellout   %spellout-cardinal-feminine              zwee­dausend­­honnert­dräianvéierzeg
 411  lb        spellout   %spellout-cardinal-masculine             zwee­dausend­­honnert­dräianvéierzeg
 412  lb        spellout   %spellout-cardinal-neuter                zwee­dausend­­honnert­dräianvéierzeg
 413  lb        spellout   %spellout-numbering                      zwee­dausend­­honnert­dräianvéierzeg
 414  lb        spellout   %spellout-numbering-year                 eenanzwanzeghonnertdräianvéierzeg
 415  lb        spellout   %spellout-ordinal-feminine               zwee­dausend­­honnert­dräianvéierzegster
 416  lb        spellout   %spellout-ordinal-masculine              zwee­dausend­­honnert­dräianvéierzegsten
 417  lb        spellout   %spellout-ordinal-neuter                 zwee­dausend­­honnert­dräianvéierzegst
 418  lb        ordinal    %digits-ordinal                          2.143.
 419  lo        spellout   %spellout-cardinal                       ສອງ​พัน​ໜຶ່ງ​ร้อย​ສີ່​ສິບ​ສາມ
 420  lo        spellout   %spellout-numbering                      ສອງ​พัน​ໜຶ່ງ​ร้อย​ສີ່​ສິບ​ສາມ
 421  lo        spellout   %spellout-numbering-year                 ສອງ​พัน​ໜຶ່ງ​ร้อย​ສີ່​ສິບ​ສາມ
 422  lo        spellout   %spellout-ordinal                        ที่​ສອງ​พัน​ໜຶ່ງ​ร้อย​ສີ່​ສິບ​ສາມ
 423  lo        ordinal    %digits-ordinal                          ที่​2.143
 424  lrc       spellout   %spellout-cardinal                       دۏ هزار و صد و چاٛهل و ساٛ
 425  lrc       spellout   %spellout-numbering                      دۏ هزار و صد و چاٛهل و ساٛ
 426  lrc       spellout   %spellout-numbering-year                 دۏ هزار و صد و چاٛهل و ساٛ
 427  lrc       ordinal    %digits-ordinal                          ۲٬۱۴۳.
 428  lt        spellout   %spellout-cardinal-feminine              du tūkstančiai šimtas keturiasdešimt trys
 429  lt        spellout   %spellout-cardinal-feminine-accusative   du tūkstančiai šimtas keturiasdešimt tris
 430  lt        spellout   %spellout-cardinal-feminine-dative       du tūkstančiai šimtas keturiasdešimt trims
 431  lt        spellout   %spellout-cardinal-feminine-genitive     du tūkstančiai šimtas keturiasdešimt trijų
 432  lt        spellout   %spellout-cardinal-feminine-instrumental du tūkstančiai šimtas keturiasdešimt trimis
 433  lt        spellout   %spellout-cardinal-feminine-locative     du tūkstančiai šimtas keturiasdešimt trijose
 434  lt        spellout   %spellout-cardinal-masculine             du tūkstančiai šimtas keturiasdešimt trys
 435  lt        spellout   %spellout-cardinal-masculine-accusative  du tūkstančiai šimtas keturiasdešimt tris
 436  lt        spellout   %spellout-cardinal-masculine-dative      du tūkstančiai šimtas keturiasdešimt trims
 437  lt        spellout   %spellout-cardinal-masculine-genitive    du tūkstančiai šimtas keturiasdešimt trijų
 438  lt        spellout   %spellout-cardinal-masculine-instrumental du tūkstančiai šimtas keturiasdešimt trimis
 439  lt        spellout   %spellout-cardinal-masculine-locative    du tūkstančiai šimtas keturiasdešimt trijuose
 440  lt        spellout   %spellout-numbering                      du tūkstančiai šimtas keturiasdešimt trys
 441  lt        spellout   %spellout-numbering-year                 du tūkstantai šimtas keturiasdešimt trečių
 442  lt        spellout   %spellout-ordinal-feminine               du tūkstantai šimtas keturiasdešimt trečia
 443  lt        spellout   %spellout-ordinal-feminine-accusative    du tūkstantai šimtas keturiasdešimt trečią
 444  lt        spellout   %spellout-ordinal-feminine-dative        du tūkstantai šimtas keturiasdešimt trečiai
 445  lt        spellout   %spellout-ordinal-feminine-genitive      du tūkstantai šimtas keturiasdešimt trečios
 446  lt        spellout   %spellout-ordinal-feminine-instrumental  du tūkstantai šimtas keturiasdešimt trečia
 447  lt        spellout   %spellout-ordinal-feminine-locative      du tūkstantai šimtas keturiasdešimt trečioje
 448  lt        spellout   %spellout-ordinal-feminine-plural        du tūkstantai šimtas keturiasdešimt trečios
 449  lt        spellout   %spellout-ordinal-feminine-plural-accusative du tūkstantai šimtas keturiasdešimt trečias
 450  lt        spellout   %spellout-ordinal-feminine-plural-dative du tūkstantai šimtas keturiasdešimt trečioms
 451  lt        spellout   %spellout-ordinal-feminine-plural-genitive du tūkstantai šimtas keturiasdešimt trečių
 452  lt        spellout   %spellout-ordinal-feminine-plural-instrumental du tūkstantai šimtas keturiasdešimt trečiomis
 453  lt        spellout   %spellout-ordinal-feminine-plural-locative du tūkstantai šimtas keturiasdešimt trečiose
 454  lt        spellout   %spellout-ordinal-masculine              du tūkstantai šimtas keturiasdešimt trečias
 455  lt        spellout   %spellout-ordinal-masculine-accusative   du tūkstantai šimtas keturiasdešimt trečią
 456  lt        spellout   %spellout-ordinal-masculine-dative       du tūkstantai šimtas keturiasdešimt trečiam
 457  lt        spellout   %spellout-ordinal-masculine-genitive     du tūkstantai šimtas keturiasdešimt trečio
 458  lt        spellout   %spellout-ordinal-masculine-instrumental du tūkstantai šimtas keturiasdešimt trečiu
 459  lt        spellout   %spellout-ordinal-masculine-locative     du tūkstantai šimtas keturiasdešimt trečiame
 460  lt        spellout   %spellout-ordinal-masculine-plural       du tūkstantai šimtas keturiasdešimt treti
 461  lt        spellout   %spellout-ordinal-masculine-plural-accusative du tūkstantai šimtas keturiasdešimt trečius
 462  lt        spellout   %spellout-ordinal-masculine-plural-dative du tūkstantai šimtas keturiasdešimt tretiems
 463  lt        spellout   %spellout-ordinal-masculine-plural-genitive du tūkstantai šimtas keturiasdešimt trečių
 464  lt        spellout   %spellout-ordinal-masculine-plural-instrumental du tūkstantai šimtas keturiasdešimt trečiais
 465  lt        spellout   %spellout-ordinal-masculine-plural-locative du tūkstantai šimtas keturiasdešimt trečiuose
 466  lt        spellout   %spellout-ordinal-neuter                 du tūkstantai šimtas keturiasdešimt trečia
 467  lt        ordinal    %digits-ordinal                          2 143.
 468  lv        spellout   %spellout-cardinal-feminine              divtūkstoš simt četrdesmit trīs
 469  lv        spellout   %spellout-cardinal-masculine             divtūkstoš simt četrdesmit trīs
 470  lv        spellout   %spellout-numbering                      divtūkstoš simt četrdesmit trīs
 471  lv        spellout   %spellout-numbering-year                 divtūkstoš simt četrdesmit trīs
 472  lv        ordinal    %digits-ordinal                          2 143.
 473  mk        spellout   %spellout-cardinal-feminine              две илјада еднасто четириесет и три
 474  mk        spellout   %spellout-cardinal-masculine             две илјада еднасто четириесет и три
 475  mk        spellout   %spellout-cardinal-neuter                две илјада еднасто четириесет и три
 476  mk        spellout   %spellout-numbering                      две илјада еднасто четириесет и три
 477  mk        spellout   %spellout-numbering-year                 две илјада еднасто четириесет и три
 478  mk        ordinal    %digits-ordinal                          2.143.
 479  ms        spellout   %spellout-cardinal                       dua ribu seratus empat puluh tiga
 480  ms        spellout   %spellout-numbering                      dua ribu seratus empat puluh tiga
 481  ms        spellout   %spellout-numbering-year                 dua ribu seratus empat puluh tiga
 482  ms        spellout   %spellout-ordinal                        kedua ribu seratus empat puluh tiga
 483  ms        ordinal    %digits-ordinal                          ke-2,143
 484  mt        spellout   %spellout-cardinal-feminine              elfejn u mija u tliet u erbgħin
 485  mt        spellout   %spellout-cardinal-masculine             elfejn u mija u tliet u erbgħin
 486  mt        spellout   %spellout-numbering                      elfejn u mija u tlieta u erbgħin
 487  mt        spellout   %spellout-numbering-year                 elfejn u mija u tlieta u erbgħin
 488  mt        ordinal    %digits-ordinal                          2,143.
 489  my        spellout   %spellout-cardinal                       နှစ်ထောင့်တစ်ရာ့လေးဆယ်သုံး
 490  my        spellout   %spellout-numbering                      နှစ်ထောင့်တစ်ရာ့လေးဆယ်သုံး
 491  my        spellout   %spellout-numbering-year                 နှစ်ထောင့်တစ်ရာ့လေးဆယ်သုံး
 492  my        spellout   %spellout-ordinal                        နှစ်ထောင့်တစ်ရာ့လေးဆယ်သုံး
 493  my        ordinal    %digits-ordinal                          ၂,၁၄၃.
 494  nb        spellout   %spellout-cardinal-feminine              to tusen hundre og førti­tre
 495  nb        spellout   %spellout-cardinal-masculine             to tusen hundre og førti­tre
 496  nb        spellout   %spellout-cardinal-neuter                to tusen hundre og førti­tre
 497  nb        spellout   %spellout-numbering                      to tusen hundre og førti­tre
 498  nb        spellout   %spellout-numbering-year                 tjue­én­hundre og førti­tre
 499  nb        spellout   %spellout-ordinal-feminine               to­tusen én­hundre førti­tredje
 500  nb        spellout   %spellout-ordinal-masculine              to­tusen én­hundre førti­tredje
 501  nb        spellout   %spellout-ordinal-neuter                 to­tusen én­hundre førti­tredje
 502  nb        spellout   %spellout-ordinal-plural                 to­tusen én­hundre førti­tredje
 503  nb        ordinal    %digits-ordinal                          2 143.
 504  ne        spellout   %spellout-cardinal                       दुई हजार एक सय त्रिचालिस
 505  ne        spellout   %spellout-numbering                      दुई हजार एक सय त्रिचालिस
 506  ne        spellout   %spellout-numbering-year                 एक्काइस सय त्रिचालिस
 507  ne        spellout   %spellout-ordinal-feminine               दुई हजार एक सय त्रिचालिसौँ
 508  ne        spellout   %spellout-ordinal-masculine              दुई हजार एक सय त्रिचालिसौँ
 509  ne        ordinal    %digits-ordinal                          २,१४३.
 510  nl        spellout   %spellout-cardinal                       twee­duizend­honderddrie­ën­veertig
 511  nl        spellout   %spellout-cardinal-stressed              twee­duizend­honderddrie­ën­veertig
 512  nl        spellout   %spellout-numbering                      twee­duizend­honderddrie­ën­veertig
 513  nl        spellout   %spellout-numbering-year                 een­en­twintigdrie­ën­veertig
 514  nl        spellout   %spellout-ordinal                        twee­duizend­honderd­drie­ën­veertigste
 515  nl        ordinal    %digits-ordinal                          2.143e
 516  nn        spellout   %spellout-cardinal-feminine              to tusen og eitt hundre og førti­tre
 517  nn        spellout   %spellout-cardinal-masculine             to tusen og eitt hundre og førti­tre
 518  nn        spellout   %spellout-cardinal-neuter                to tusen og eitt hundre og førti­tre
 519  nn        spellout   %spellout-cardinal-reale                 to tusen og eitt hundre og førti­tre
 520  nn        spellout   %spellout-numbering                      to tusen og eitt hundre og førti­tre
 521  nn        spellout   %spellout-numbering-year                 tjue­éin hundre og førti­tre
 522  nn        ordinal    %digits-ordinal                          2 143.
 523  no        spellout   %spellout-cardinal-feminine              to tusen hundre og førti­tre
 524  no        spellout   %spellout-cardinal-masculine             to tusen hundre og førti­tre
 525  no        spellout   %spellout-cardinal-neuter                to tusen hundre og førti­tre
 526  no        spellout   %spellout-numbering                      to tusen hundre og førti­tre
 527  no        spellout   %spellout-numbering-year                 tjue­én­hundre og førti­tre
 528  no        spellout   %spellout-ordinal-feminine               to­tusen én­hundre førti­tredje
 529  no        spellout   %spellout-ordinal-masculine              to­tusen én­hundre førti­tredje
 530  no        spellout   %spellout-ordinal-neuter                 to­tusen én­hundre førti­tredje
 531  no        spellout   %spellout-ordinal-plural                 to­tusen én­hundre førti­tredje
 532  no        ordinal    %digits-ordinal                          2 143.
 533  pl        spellout   %spellout-cardinal-feminine              dwa tysiące sto czterdzieści trzy
 534  pl        spellout   %spellout-cardinal-feminine-accusative   dwa tysiące sto czterdzieści trzy
 535  pl        spellout   %spellout-cardinal-feminine-dative       dwóm tysiącom stu czterdziestu trzem
 536  pl        spellout   %spellout-cardinal-feminine-genitive     dwóch tysięcy stu czterdziestu trzech
 537  pl        spellout   %spellout-cardinal-feminine-instrumental dwoma tysiącami stu czterdziestoma trzema
 538  pl        spellout   %spellout-cardinal-feminine-locative     dwóch tysiącach stu czterdziestu trzech
 539  pl        spellout   %spellout-cardinal-masculine             dwa tysiące sto czterdzieści trzy
 540  pl        spellout   %spellout-cardinal-masculine-accusative  dwa tysiące sto czterdzieści trzy
 541  pl        spellout   %spellout-cardinal-masculine-accusative-animate dwa tysiące sto czterdzieści trzy
 542  pl        spellout   %spellout-cardinal-masculine-accusative-personal dwa tysiące stu czterdziestu trzech
 543  pl        spellout   %spellout-cardinal-masculine-dative      dwóm tysiącom stu czterdziestu trzem
 544  pl        spellout   %spellout-cardinal-masculine-genitive    dwóch tysięcy stu czterdziestu trzech
 545  pl        spellout   %spellout-cardinal-masculine-instrumental dwoma tysiącami stu czterdziestoma trzema
 546  pl        spellout   %spellout-cardinal-masculine-locative    dwóch tysiącach stu czterdziestu trzech
 547  pl        spellout   %spellout-cardinal-masculine-personal    dwa tysiące stu czterdziestu trzech
 548  pl        spellout   %spellout-cardinal-neuter                dwa tysiące sto czterdzieści trzy
 549  pl        spellout   %spellout-cardinal-neuter-accusative     dwa tysiące sto czterdzieści trzy
 550  pl        spellout   %spellout-cardinal-neuter-dative         dwóm tysiącom stu czterdziestu trzem
 551  pl        spellout   %spellout-cardinal-neuter-genitive       dwóch tysięcy stu czterdziestu trzech
 552  pl        spellout   %spellout-cardinal-neuter-instrumental   dwoma tysiącami stu czterdziestoma trzema
 553  pl        spellout   %spellout-cardinal-neuter-locative       dwóch tysiącach stu czterdziestu trzech
 554  pl        spellout   %spellout-numbering                      dwa tysiące sto czterdzieści trzy
 555  pl        spellout   %spellout-numbering-year                 dwa tysiące sto czterdziestego trzeciego
 556  pl        spellout   %spellout-ordinal-feminine               dwa tysiące sto czterdziesta trzecia
 557  pl        spellout   %spellout-ordinal-feminine-accusative    dwa tysiące sto czterdziestą trzecią
 558  pl        spellout   %spellout-ordinal-feminine-dative        dwa tysiące sto czterdziestej trzeciej
 559  pl        spellout   %spellout-ordinal-feminine-genitive      dwa tysiące sto czterdziestej trzeciej
 560  pl        spellout   %spellout-ordinal-feminine-instrumental  dwa tysiące sto czterdziestą trzecią
 561  pl        spellout   %spellout-ordinal-feminine-locative      dwa tysiące sto czterdziestej trzeciej
 562  pl        spellout   %spellout-ordinal-masculine              dwa tysiące sto czterdziesty trzeci
 563  pl        spellout   %spellout-ordinal-masculine-accusative   dwa tysiące sto czterdziesty trzeci
 564  pl        spellout   %spellout-ordinal-masculine-animate-accusative dwa tysiące sto czterdziestego trzeciego
 565  pl        spellout   %spellout-ordinal-masculine-dative       dwa tysiące sto czterdziestemu trzeciemu
 566  pl        spellout   %spellout-ordinal-masculine-genitive     dwa tysiące sto czterdziestego trzeciego
 567  pl        spellout   %spellout-ordinal-masculine-instrumental dwa tysiące sto czterdziestym trzecim
 568  pl        spellout   %spellout-ordinal-masculine-locative     dwa tysiące sto czterdziestym trzecim
 569  pl        spellout   %spellout-ordinal-masculine-personal-plural dwa tysiące sto czterdzieści trzeci
 570  pl        spellout   %spellout-ordinal-masculine-personal-plural-accusative dwa tysiące sto czterdziestych trzecich
 571  pl        spellout   %spellout-ordinal-neuter                 dwa tysiące sto czterdzieste trzecie
 572  pl        spellout   %spellout-ordinal-neuter-accusative      dwa tysiące sto czterdzieste trzecie
 573  pl        spellout   %spellout-ordinal-neuter-dative          dwa tysiące sto czterdziestemu trzeciemu
 574  pl        spellout   %spellout-ordinal-neuter-genitive        dwa tysiące sto czterdziestego trzeciego
 575  pl        spellout   %spellout-ordinal-neuter-instrumental    dwa tysiące sto czterdziestym trzecim
 576  pl        spellout   %spellout-ordinal-neuter-locative        dwa tysiące sto czterdziestym trzecim
 577  pl        spellout   %spellout-ordinal-plural                 dwa tysiące sto czterdzieste trzecie
 578  pl        spellout   %spellout-ordinal-plural-accusative      dwa tysiące sto czterdzieste trzecie
 579  pl        spellout   %spellout-ordinal-plural-dative          dwa tysiące sto czterdziestym trzecim
 580  pl        spellout   %spellout-ordinal-plural-genitive        dwa tysiące sto czterdziestych trzecich
 581  pl        spellout   %spellout-ordinal-plural-instrumental    dwa tysiące sto czterdziestymi trzecimi
 582  pl        spellout   %spellout-ordinal-plural-locative        dwa tysiące sto czterdziestych trzecich
 583  pl        ordinal    %digits-ordinal                          2 143.
 584  pt        spellout   %spellout-cardinal-feminine              duas mil cento e quarenta e três
 585  pt        spellout   %spellout-cardinal-masculine             dois mil cento e quarenta e três
 586  pt        spellout   %spellout-numbering                      dois mil cento e quarenta e três
 587  pt        spellout   %spellout-numbering-year                 dois mil cento e quarenta e três
 588  pt        spellout   %spellout-ordinal-feminine               duas milésima centésima quadragésima terceira
 589  pt        spellout   %spellout-ordinal-masculine              dois milésimo centésimo quadragésimo terceiro
 590  pt        ordinal    %digits-ordinal                          2.143º
 591  pt        ordinal    %digits-ordinal-feminine                 2.143ª
 592  pt        ordinal    %digits-ordinal-masculine                2.143º
 593  qu        spellout   %spellout-cardinal                       iskay waranqa huk pachak tawa chunka kinsa-yuq
 594  qu        spellout   %spellout-numbering                      iskay waranqa huk pachak tawa chunka kinsa-yuq
 595  qu        spellout   %spellout-numbering-year                 iskay waranqa huk pachak tawa chunka kinsa-yuq
 596  qu        spellout   %spellout-ordinal                        iskay waranqa huk pachak tawa chunka kinsa-yuq-ñiqin
 597  qu        ordinal    %digits-ordinal                          2,143.
 598  ro        spellout   %spellout-cardinal-feminine              două mii una sută patruzeci și trei
 599  ro        spellout   %spellout-cardinal-masculine             două mii una sută patruzeci și trei
 600  ro        spellout   %spellout-cardinal-neuter                două mii una sută patruzeci și trei
 601  ro        spellout   %spellout-numbering                      două mii una sută patruzeci și trei
 602  ro        spellout   %spellout-numbering-year                 două mii una sută patruzeci și trei
 603  ro        ordinal    %digits-ordinal                          2.143a
 604  ru        spellout   %spellout-cardinal-feminine              две тысячи сто сорок три
 605  ru        spellout   %spellout-cardinal-feminine-ablative     двумя тысячами ста сорока тремя
 606  ru        spellout   %spellout-cardinal-feminine-accusative   две тысячи сто сорок три
 607  ru        spellout   %spellout-cardinal-feminine-dative       двум тысячам ста сорока трем
 608  ru        spellout   %spellout-cardinal-feminine-genitive     двух тысяч ста сорока трех
 609  ru        spellout   %spellout-cardinal-feminine-instrumental двумя тысячами ста сорока тремя
 610  ru        spellout   %spellout-cardinal-feminine-locative     двух тысячах ста сорока трех
 611  ru        spellout   %spellout-cardinal-feminine-prepositional двух тысячах ста сорока трех
 612  ru        spellout   %spellout-cardinal-masculine             две тысячи сто сорок три
 613  ru        spellout   %spellout-cardinal-masculine-ablative    двумя тысячами ста сорока тремя
 614  ru        spellout   %spellout-cardinal-masculine-accusative  две тысячи сто сорок три
 615  ru        spellout   %spellout-cardinal-masculine-dative      двум тысячам ста сорока трем
 616  ru        spellout   %spellout-cardinal-masculine-genitive    двух тысяч ста сорока трех
 617  ru        spellout   %spellout-cardinal-masculine-instrumental двумя тысячами ста сорока тремя
 618  ru        spellout   %spellout-cardinal-masculine-locative    двух тысячах ста сорока трех
 619  ru        spellout   %spellout-cardinal-masculine-prepositional двух тысячах ста сорока трех
 620  ru        spellout   %spellout-cardinal-neuter                две тысячи сто сорок три
 621  ru        spellout   %spellout-cardinal-neuter-ablative       двумя тысячами ста сорока тремя
 622  ru        spellout   %spellout-cardinal-neuter-accusative     две тысячи сто сорок три
